S 648300(set 24 of 32),4 miss eviction 
S 6483f4(set 31 of 32),4 hit 
S 6484e8(set 7 of 32),4 hit 
S 6485dc(set 14 of 32),4 hit 
S 6486d0(set 22 of 32),4 hit 
S 6487c4(set 30 of 32),4 hit 
L 608854(set 2 of 32),4 miss eviction 
L 608858(set 2 of 32),4 hit 
L 60885c(set 2 of 32),4 hit 
L 608860(set 3 of 32),4 miss 
L 608864(set 3 of 32),4 hit 
L 608868(set 3 of 32),4 hit 
L 60886c(set 3 of 32),4 hit 
L 608870(set 3 of 32),4 hit 
S 64811c(set 8 of 32),4 hit 
S 648210(set 16 of 32),4 hit 
S 648304(set 24 of 32),4 hit 
S 6483f8(set 31 of 32),4 hit 
S 6484ec(set 7 of 32),4 hit 
S 6485e0(set 15 of 32),4 miss eviction 
S 6486d4(set 22 of 32),4 hit 
S 6487c8(set 30 of 32),4 hit 
L 608120(set 9 of 32),4 miss eviction 
L 608124(set 9 of 32),4 hit 
L 608128(set 9 of 32),4 hit 
L 60812c(set 9 of 32),4 hit 
L 608130(set 9 of 32),4 hit 
L 608134(set 9 of 32),4 hit 
L 608138(set 9 of 32),4 hit 
L 60813c(set 9 of 32),4 hit 
S 6488a0(set 5 of 32),4 miss 
S 648994(set 12 of 32),4 miss 
S 648a88(set 20 of 32),4 miss 
S 648b7c(set 27 of 32),4 miss eviction 
S 648c70(set 3 of 32),4 miss eviction 
S 648d64(set 11 of 32),4 miss 
S 648e58(set 18 of 32),4 miss eviction 
S 648f4c(set 26 of 32),4 miss eviction 
L 60822c(set 17 of 32),4 miss eviction 
L 608230(set 17 of 32),4 hit 
L 608234(set 17 of 32),4 hit 
L 608238(set 17 of 32),4 hit 
L 60823c(set 17 of 32),4 hit 
L 608240(set 18 of 32),4 miss eviction 
L 608244(set 18 of 32),4 hit 
L 608248(set 18 of 32),4 hit 
S 6488a4(set 5 of 32),4 hit 
S 648998(set 12 of 32),4 hit 
S 648a8c(set 20 of 32),4 hit 
S 648b80(set 28 of 32),4 miss 
S 648c74(set 3 of 32),4 hit 
S 648d68(set 11 of 32),4 hit 
S 648e5c(set 18 of 32),4 miss eviction 
S 648f50(set 26 of 32),4 hit 
L 608338(set 25 of 32),4 hit 
L 60833c(set 25 of 32),4 hit 
L 608340(set 26 of 32),4 miss eviction 
L 608344(set 26 of 32),4 hit 
L 608348(set 26 of 32),4 hit 
L 60834c(set 26 of 32),4 hit 
L 608350(set 26 of 32),4 hit 
L 608354(set 26 of 32),4 hit 
S 6488a8(set 5 of 32),4 hit 
S 64899c(set 12 of 32),4 hit 
S 648a90(set 20 of 32),4 hit 
S 648b84(set 28 of 32),4 hit 
S 648c78(set 3 of 32),4 hit 
S 648d6c(set 11 of 32),4 hit 
S 648e60(set 19 of 32),4 miss 
S 648f54(set 26 of 32),4 miss eviction 
L 608444(set 2 of 32),4 miss eviction 
L 608448(set 2 of 32),4 hit 
L 60844c(set 2 of 32),4 hit 
L 608450(set 2 of 32),4 hit 
L 608454(set 2 of 32),4 hit 
L 608458(set 2 of 32),4 hit 
L 60845c(set 2 of 32),4 hit 
L 608460(set 3 of 32),4 miss eviction 
S 6488ac(set 5 of 32),4 hit 
S 6489a0(set 13 of 32),4 miss 
S 648a94(set 20 of 32),4 hit 
S 648b88(set 28 of 32),4 hit 
S 648c7c(set 3 of 32),4 miss eviction 
S 648d70(set 11 of 32),4 hit 
S 648e64(set 19 of 32),4 hit 
S 648f58(set 26 of 32),4 hit 
L 608550(set 10 of 32),4 hit 
L 608554(set 10 of 32),4 hit 
L 608558(set 10 of 32),4 hit 
L 60855c(set 10 of 32),4 hit 
L 608560(set 11 of 32),4 miss eviction 
L 608564(set 11 of 32),4 hit 
L 608568(set 11 of 32),4 hit 
L 60856c(set 11 of 32),4 hit 
S 6488b0(set 5 of 32),4 hit 
S 6489a4(set 13 of 32),4 hit 
S 648a98(set 20 of 32),4 hit 
S 648b8c(set 28 of 32),4 hit 
S 648c80(set 4 of 32),4 miss 
S 648d74(set 11 of 32),4 miss eviction 
S 648e68(set 19 of 32),4 hit 
S 648f5c(set 26 of 32),4 hit 
L 60865c(set 18 of 32),4 miss eviction 
L 608660(set 19 of 32),4 miss eviction 
L 608664(set 19 of 32),4 hit 
L 608668(set 19 of 32),4 hit 
L 60866c(set 19 of 32),4 hit 
L 608670(set 19 of 32),4 hit 
L 608674(set 19 of 32),4 hit 
L 608678(set 19 of 32),4 hit 
S 6488b4(set 5 of 32),4 hit 
S 6489a8(set 13 of 32),4 hit 
S 648a9c(set 20 of 32),4 hit 
S 648b90(set 28 of 32),4 hit 
S 648c84(set 4 of 32),4 hit 
S 648d78(set 11 of 32),4 hit 
S 648e6c(set 19 of 32),4 miss eviction 
S 648f60(set 27 of 32),4 miss eviction 
L 608768(set 27 of 32),4 miss eviction 
L 60876c(set 27 of 32),4 hit 
L 608770(set 27 of 32),4 hit 
L 608774(set 27 of 32),4 hit 
L 608778(set 27 of 32),4 hit 
L 60877c(set 27 of 32),4 hit 
L 608780(set 28 of 32),4 miss eviction 
L 608784(set 28 of 32),4 hit 
S 6488b8(set 5 of 32),4 hit 
S 6489ac(set 13 of 32),4 hit 
S 648aa0(set 21 of 32),4 miss eviction 
S 648b94(set 28 of 32),4 miss eviction 
S 648c88(set 4 of 32),4 hit 
S 648d7c(set 11 of 32),4 hit 
S 648e70(set 19 of 32),4 hit 
S 648f64(set 27 of 32),4 miss eviction 
L 608874(set 3 of 32),4 miss eviction 
L 608878(set 3 of 32),4 hit 
L 60887c(set 3 of 32),4 hit 
L 608880(set 4 of 32),4 miss eviction 
L 608884(set 4 of 32),4 hit 
L 608888(set 4 of 32),4 hit 
L 60888c(set 4 of 32),4 hit 
L 608890(set 4 of 32),4 hit 
S 6488bc(set 5 of 32),4 hit 
S 6489b0(set 13 of 32),4 hit 
S 648aa4(set 21 of 32),4 hit 
S 648b98(set 28 of 32),4 hit 
S 648c8c(set 4 of 32),4 miss eviction 
S 648d80(set 12 of 32),4 miss eviction 
S 648e74(set 19 of 32),4 hit 
S 648f68(set 27 of 32),4 hit 
L 608140(set 10 of 32),4 miss eviction 
L 608144(set 10 of 32),4 hit 
L 608148(set 10 of 32),4 hit 
L 60814c(set 10 of 32),4 hit 
L 608150(set 10 of 32),4 hit 
L 608154(set 10 of 32),4 hit 
L 608158(set 10 of 32),4 hit 
L 60815c(set 10 of 32),4 hit 
S 649040(set 2 of 32),4 miss eviction 
S 649134(set 9 of 32),4 miss eviction 
S 649228(set 17 of 32),4 miss eviction 
S 64931c(set 24 of 32),4 miss eviction 
S 649410(set 0 of 32),4 miss eviction 
S 649504(set 8 of 32),4 miss eviction 
S 6495f8(set 15 of 32),4 miss eviction 
S 6496ec(set 23 of 32),4 miss eviction 
L 60824c(set 18 of 32),4 miss eviction 
L 608250(set 18 of 32),4 hit 
L 608254(set 18 of 32),4 hit 
L 608258(set 18 of 32),4 hit 
L 60825c(set 18 of 32),4 hit 
L 608260(set 19 of 32),4 miss eviction 
L 608264(set 19 of 32),4 hit 
L 608268(set 19 of 32),4 hit 
S 649044(set 2 of 32),4 hit 
S 649138(set 9 of 32),4 hit 
S 64922c(set 17 of 32),4 hit 
S 649320(set 25 of 32),4 miss eviction 
S 649414(set 0 of 32),4 hit 
S 649508(set 8 of 32),4 hit 
S 6495fc(set 15 of 32),4 hit 
S 6496f0(set 23 of 32),4 hit 
L 608358(set 26 of 32),4 miss eviction 
L 60835c(set 26 of 32),4 hit 
L 608360(set 27 of 32),4 miss eviction 
L 608364(set 27 of 32),4 hit 
L 608368(set 27 of 32),4 hit 
L 60836c(set 27 of 32),4 hit 
L 608370(set 27 of 32),4 hit 
L 608374(set 27 of 32),4 hit 
S 649048(set 2 of 32),4 hit 
S 64913c(set 9 of 32),4 hit 
S 649230(set 17 of 32),4 hit 
S 649324(set 25 of 32),4 hit 
S 649418(set 0 of 32),4 hit 
S 64950c(set 8 of 32),4 hit 
S 649600(set 16 of 32),4 miss eviction 
S 6496f4(set 23 of 32),4 hit 
L 608464(set 3 of 32),4 miss eviction 
L 608468(set 3 of 32),4 hit 
L 60846c(set 3 of 32),4 hit 
L 608470(set 3 of 32),4 hit 
L 608474(set 3 of 32),4 hit 
L 608478(set 3 of 32),4 hit 
L 60847c(set 3 of 32),4 hit 
L 608480(set 4 of 32),4 miss eviction 
S 64904c(set 2 of 32),4 hit 
S 649140(set 10 of 32),4 miss eviction 
S 649234(set 17 of 32),4 hit 
S 649328(set 25 of 32),4 hit 
S 64941c(set 0 of 32),4 hit 
S 649510(set 8 of 32),4 hit 
S 649604(set 16 of 32),4 hit 
S 6496f8(set 23 of 32),4 hit 
L 608570(set 11 of 32),4 miss eviction 
L 608574(set 11 of 32),4 hit 
L 608578(set 11 of 32),4 hit 
L 60857c(set 11 of 32),4 hit 
L 608580(set 12 of 32),4 miss eviction 
L 608584(set 12 of 32),4 hit 
L 608588(set 12 of 32),4 hit 
L 60858c(set 12 of 32),4 hit 
S 649050(set 2 of 32),4 hit 
S 649144(set 10 of 32),4 hit 
S 649238(set 17 of 32),4 hit 
S 64932c(set 25 of 32),4 hit 
S 649420(set 1 of 32),4 miss eviction 
S 649514(set 8 of 32),4 hit 
S 649608(set 16 of 32),4 hit 
S 6496fc(set 23 of 32),4 hit 
L 60867c(set 19 of 32),4 miss eviction 
L 608680(set 20 of 32),4 miss eviction 
L 608684(set 20 of 32),4 hit 
L 608688(set 20 of 32),4 hit 
L 60868c(set 20 of 32),4 hit 
L 608690(set 20 of 32),4 hit 
L 608694(set 20 of 32),4 hit 
L 608698(set 20 of 32),4 hit 
S 649054(set 2 of 32),4 hit 
S 649148(set 10 of 32),4 hit 
S 64923c(set 17 of 32),4 hit 
S 649330(set 25 of 32),4 hit 
S 649424(set 1 of 32),4 hit 
S 649518(set 8 of 32),4 hit 
S 64960c(set 16 of 32),4 hit 
S 649700(set 24 of 32),4 miss eviction 
L 608788(set 28 of 32),4 miss eviction 
L 60878c(set 28 of 32),4 hit 
L 608790(set 28 of 32),4 hit 
